,index,Index,N,-logL,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
61058,335,14319,3.0,92.5256,0.1727707,1.881062,0.01917549,1.126651,0.7614773,-0.9166702,2.231927,0.0002337146,0.9074539,0.3321395,0.6439449
61070,347,13830,5.0,91.4819,0.2040207,1.733432,0.02063309,1.018615,0.7250856,-0.8686743,2.768395,7.657749e-05,0.9421933,0.4285274,0.6035417
61077,354,11587,1.0,91.5976,0.1987181,1.926653,0.0193748,0.9295072,0.786301,-0.9730872,2.651273,-1.67944e-05,1.148703,0.3537893,0.6509324
61079,356,13529,7.0,91.8853,0.1987181,1.926653,0.0193748,0.9295072,0.786301,-0.9730872,2.265459,-0.0002223065,1.157402,0.3537893,0.6509324
61081,358,10536,4.0,91.7663,0.1987181,1.926653,0.0193748,0.9295072,0.786301,-0.9730872,2.219009,-7.061429e-05,0.9211593,0.3537893,0.6509324
61085,362,10929,11.0,90.9419,0.1593299,2.465134,0.01882575,1.034803,0.7969885,-1.206283,2.114435,-3.907905e-05,0.9859055,0.2814899,0.7991996
61088,365,11291,3.0,90.8539,0.2034226,1.781982,0.0206864,1.053382,0.8072605,-0.6224113,2.099959,0.0001158573,0.9661281,0.3448882,0.6532468
61092,369,13135,1.0,90.2459,0.1697588,2.256715,0.02093976,1.081287,0.7963819,-0.486287,2.670782,-0.0001005893,1.074525,0.3016957,0.7538767
61097,374,14881,2.0,90.4906,0.07190435,4.109019,0.02165524,1.123944,0.7167372,-0.4342416,2.757456,6.846747e-05,1.14018,0.1833784,1.034393
61098,375,10707,1.0,90.2458,0.06764442,4.202819,0.02017944,1.083008,0.7289012,-0.6674678,2.795853,7.176058e-05,1.147987,0.1665133,1.035011
61099,376,11121,21.0,90.5949,0.0879202,3.635036,0.01911902,1.147319,0.7523136,0.04241319,2.74237,5.350862e-05,1.111487,0.1902614,0.9942146
61101,378,14039,2.0,92.4422,0.0879202,3.635036,0.01911902,1.147319,0.7523136,0.04241319,2.6911,-0.0001430659,1.030805,0.1902614,0.9942146
61102,379,10314,8.0,90.7025,0.0879202,3.635036,0.01911902,1.147319,0.7523136,0.04241319,2.67783,0.0001067373,1.067662,0.1902614,0.9942146
61105,382,14353,1.0,90.6021,0.0879202,3.635036,0.01911902,1.147319,0.7523136,0.04241319,2.292232,0.0001730488,0.9830637,0.1902614,0.9942146
61112,389,14781,1.0,91.742,0.1030125,2.906243,0.01950298,1.127608,0.6745596,-0.5797861,3.071556,-0.0001352019,1.141905,0.2706622,0.7465952
61113,390,12166,1.0,91.771,0.1191806,2.651857,0.02023688,1.067508,0.6752682,-0.7737845,3.072941,-0.000128362,1.155332,0.3071613,0.7029043
61114,391,12530,2.0,92.512,0.1167998,2.919995,0.02081741,1.003852,0.7058982,-1.236888,3.082202,-0.0001208273,1.184619,0.2774703,0.7781053
61116,393,14056,1.0,90.64,0.1640907,2.284411,0.02086969,1.022999,0.7742085,-0.8301768,2.538347,-0.0001287216,1.136158,0.3096512,0.7221365
61118,395,11562,4.0,91.0433,0.1424878,2.414517,0.02359065,1.144776,0.7688958,-0.2947134,2.25391,1.317779e-05,1.050588,0.2820068,0.7328692
61134,411,10283,8.0,91.2659,0.1293061,2.879757,0.02513349,1.006819,0.7072436,-0.4641846,2.446794,-0.0003268938,1.130381,0.3100475,0.7886141
61137,414,10270,4.0,93.0283,0.1936077,1.864718,0.02388062,0.9895864,0.7364127,-0.6005613,2.25108,-0.0004703923,1.032612,0.4022331,0.6098357
61138,415,12301,5.0,93.3894,0.1513567,2.810776,0.02568884,0.8987017,0.7951151,-0.9283584,2.292943,-0.0004520105,1.047118,0.281062,0.8217579
61141,418,10089,3.0,92.7958,0.1747102,2.152063,0.02317798,0.9609336,0.7641145,-0.8602808,2.968379,-0.0003980157,0.9666952,0.3400278,0.6673148
61142,419,10125,17.0,93.2551,0.1033964,3.199459,0.02362458,1.100553,0.7775325,-0.9597991,2.970083,-0.0003975176,0.9636265,0.2111714,0.853684
61144,421,11376,1.0,93.2802,0.102187,3.231736,0.02314042,1.087395,0.752292,-1.433948,2.259763,-0.0002681282,1.21597,0.2225869,0.8531989
61146,423,12906,1.0,92.6053,0.09119117,3.613702,0.02462749,0.9712282,0.720839,-1.320594,2.535854,-0.0002925838,0.9387315,0.2241355,0.8894261
61154,431,14079,1.0,90.4859,0.1096475,3.216445,0.02459589,1.022333,0.7188225,-0.05161979,2.123602,2.179686e-05,0.8967162,0.2610528,0.8478409
61155,432,12800,5.0,91.1555,0.1106779,3.083384,0.02433014,1.058182,0.6422501,-0.04204031,2.148844,2.392209e-05,0.8910088,0.3288656,0.7900314
61160,437,11907,1.0,92.8522,0.08469357,3.604392,0.02394862,1.059375,0.6535268,0.07132875,2.799897,0.000135047,1.076825,0.2558816,0.856792
61175,452,10045,4.0,91.1216,0.1107205,3.190598,0.02421496,1.089026,0.7534666,-0.02875619,2.138402,-9.754749e-05,1.209158,0.2388176,0.8781103
61177,454,13482,2.0,90.244,0.1564605,2.362131,0.0235319,1.090082,0.7647903,-0.04648356,2.644111,-6.107432e-05,1.068967,0.3088311,0.7368314
61180,457,11285,6.0,92.3433,0.1383988,2.474642,0.02295077,1.210637,0.7534404,0.04993149,2.229227,-0.0001970768,1.150205,0.2853649,0.7637898
61183,460,12745,1.0,90.9328,0.1177716,3.085151,0.02248867,1.167165,0.7940966,0.01481299,2.376713,-0.0002435233,0.953628,0.2234487,0.9262804
